Papel,Cota��o,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. L�q.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. L�q,D�v.Brut/ Patrim.,Cresc. Rec.5a
FBMC4,196,-009,-002,0095,"0,00%",34,-004,-007,-2,-053,-059,"-135,59%","-101,97%",31,"-64,70%","24,19%",000,"-63.552.000,00",-015,"-31,66%"
MEND6,950,-009,-001,60716,"0,00%",104,-003,-010,-1,-1339,-1340,"-61.143,20%","-69.947,10%",0,"-105,04%","6,83%",000,"-16.518.600.000,00",-079,"5,88%"
PMAM3,195,-008,-002,0265,"0,00%",72,-003,-029,-2,-1078,-1383,"-90,38%","-343,26%",8,"-35,01%","31,04%","176.553,00","-5.128.580.000,00",-086,"-44,03%"
GSHP3,1150,-007,-002,0133,"0,00%",15,-318,043,-1,3960,3799,"30,73%","-183,72%",97,"3,77%","28,86%",53904,"-1.063.790.000,00",-199,"13,96%"
TENE7,980,-007,-001,37056,"0,00%",114,-264,-167,-1,-167,-562,"-2.221,88%","-55.090,60%",0,"-7,06%","13,47%",000,"-130.916.000,00",000,"0,00%"
VPTA4,1050,-007,-001,0260,"0,00%",54,-002,-013,-1,-689,-689,"-193,57%","-396,38%",23,"-45,00%","10,11%",000,"-867.658.000,00",-034,"-58,91%"
IFCM3,017,-006,-3024,0104,"0,00%",68,-217,-064,-12,-431,-41876,"-16,29%","-171,54%",94,"-15,14%","49.903,70%","4.056.000,00","-3.584.000,00",-20776,"23,33%"
MEND5,650,-006,000,41543,"0,00%",71,-002,-007,0,-1336,-1336,"-61.143,20%","-69.947,10%",0,"-105,04%","6,83%",000,"-16.518.600.000,00",-079,"5,88%"
CTNM4,086,-006,011,0022,"0,00%",8,-003,-007,-1,-279,-378,"-33,48%","-70,52%",49,"-14,43%","-197,20%","19.821,40","240.294.000,00",543,"-4,20%"
VPSC4,999,-005,430,0029,"0,00%",33,-006,-013,-6,-020,-020,"-22,82%","-55,90%",43,"-28,56%","-8.246,83%",000,"1.232.000,00",615,"-10,02%"
VAGV3,114,-005,-001,0014,"0,00%",37,-008,-027,-1,-890,-890,"-5,08%","-29,29%",52,"-15,14%","20,73%",000,"-8.194.580.000,00",-031,"1,06%"
DHBI4,101,-004,-001,0046,"0,00%",18,-001,-020,-1,-2109,-5110,"-23,58%","-154,81%",12,"-10,50%","21,03%",000,"-456.340.000,00",-099,"-23,62%"
